excerpt,type,personality,category,atomicnumber,symbol,elementname,period,group,groupname,color
They are enthusiastic.,ESFP,The Entertainer,Explorers,2,En,Trait #2,2,A,Traits,#eddcd2
They are logical.,ENTJ,The Commander,Analysts,2,Lg,Trait #2,2,A,Traits,#eddcd2
They are considerate.,ISFJ,The Defender,Sentinels,2,Cn,Trait #2,2,A,Traits,#eddcd2
They are complicated.,INFJ,The Advocate,Diplomats,2,Cm,Trait #2,2,A,Traits,#eddcd2
They are calm.,INTP,The Logician,Analysts,2,Ca,Trait #2,2,A,Traits,#eddcd2
They are logical.,ISTP,The Virtuoso,Explorers,2,Lg,Trait #2,2,A,Traits,#eddcd2
They are hard-working.,ESTJ,The Executive,Sentinels,2,Hw,Trait #2,2,A,Traits,#eddcd2
They are emotional.,INFP,The Mediator,Diplomats,3,Em,Trait #3,3,A,Traits,#eddcd2
They are charming.,ISFP,The Adventurer,Explorers,3,Ch,Trait #3,3,A,Traits,#eddcd2
They are enthusiastic.,ENFJ,The Protagonist,Diplomats,3,En,Trait #3,3,A,Traits,#eddcd2
They are reliable.,ESFJ,The Consul,Sentinels,3,Rl,Trait #3,3,A,Traits,#eddcd2
They are scattered.,ENFP,The Campaigner,Diplomats,3,Sc,Trait #3,3,A,Traits,#eddcd2
They are observant.,ESTP,The Entrepreneur,Explorers,3,Ob,Trait #3,3,A,Traits,#eddcd2
They are analytical.,INTJ,The Architect,Analysts,3,An,Trait #3,3,A,Traits,#eddcd2
They are reliable.,ISTJ,The Logistician,Sentinels,3,Rl,Trait #3,3,A,Traits,#eddcd2
They are undisciplined.,ENTP,The Debater,Analysts,3,Un,Trait #3,3,A,Traits,#eddcd2
They are friendly.,ESFP,The Entertainer,Explorers,3,Fr,Trait #3,3,A,Traits,#eddcd2
They are outgoing.,ENTJ,The Commander,Analysts,3,Ou,Trait #3,3,A,Traits,#eddcd2
They are gentle.,ISFJ,The Defender,Sentinels,3,Gn,Trait #3,3,A,Traits,#eddcd2
They are quiet.,INFJ,The Advocate,Diplomats,3,Qt,Trait #3,3,A,Traits,#eddcd2
They are intellectual.,INTP,The Logician,Analysts,3,In,Trait #3,3,A,Traits,#eddcd2
They are analytical.,ISTP,The Virtuoso,Explorers,3,An,Trait #3,3,A,Traits,#eddcd2
They are surpassed at managing people.,ESTJ,The Executive,Sentinels,3,Mg,Trait #3,3,A,Traits,#eddcd2
They are poetic.,INFP,The Mediator,Diplomats,4,Po,Trait #4,4,A,Traits,#eddcd2
They are adventurous.,ISFP,The Adventurer,Explorers,4,Ad,Trait #4,4,A,Traits,#eddcd2
They are caring.,ENFJ,The Protagonist,Diplomats,4,Ca,Trait #4,4,A,Traits,#eddcd2
They are conscientious.,ESFJ,The Consul,Sentinels,4,Co,Trait #4,4,A,Traits,#eddcd2
They are free spirit.,ENFP,The Campaigner,Diplomats,4,Sp,Trait #4,4,A,Traits,#eddcd2
They are smart.,ESTP,The Entrepreneur,Explorers,4,Sm,Trait #4,4,A,Traits,#eddcd2
They are straightforward.,INTJ,The Architect,Analysts,4,St,Trait #4,4,A,Traits,#eddcd2
They are realistic.,ISTJ,The Logistician,Sentinels,4,Rl,Trait #4,4,A,Traits,#eddcd2
They are smart.,ENTP,The Debater,Analysts,4,Sm,Trait #4,4,A,Traits,#eddcd2
They are spontaneous.,ESFP,The Entertainer,Explorers,4,Sp,Trait #4,4,A,Traits,#eddcd2
They are efficient.,ENTJ,The Commander,Analysts,4,Ef,Trait #4,4,A,Traits,#eddcd2
They are traditional.,ISFJ,The Defender,Sentinels,4,Tr,Trait #4,4,A,Traits,#eddcd2
They are mystical.,INFJ,The Advocate,Diplomats,4,My,Trait #4,4,A,Traits,#eddcd2
They are oblivious.,INTP,The Logician,Analysts,4,Ob,Trait #4,4,A,Traits,#eddcd2
They are spontaneous.,ISTP,The Virtuoso,Explorers,4,Sp,Trait #4,4,A,Traits,#eddcd2
They are systematic.,ESTJ,The Executive,Sentinels,4,Sy,Trait #4,4,A,Traits,#eddcd2
They are kind.,INFP,The Mediator,Diplomats,5,Kd,Trait #5,5,A,Traits,#eddcd2
They are considerate.,ISFP,The Adventurer,Explorers,5,Co,Trait #5,5,A,Traits,#eddcd2
They are diplomatic.,ENFJ,The Protagonist,Diplomats,5,Dp,Trait #5,5,A,Traits,#eddcd2
They are organized.,ESFJ,The Consul,Sentinels,5,Og,Trait #5,5,A,Traits,#eddcd2
They are creative.,ENFP,The Campaigner,Diplomats,5,Cr,Trait #5,5,A,Traits,#eddcd2
They are energetic.,ESTP,The Entrepreneur,Explorers,5,En,Trait #5,5,A,Traits,#eddcd2
They are innovative.,INTJ,The Architect,Analysts,5,In,Trait #5,5,A,Traits,#eddcd2
They are perfectionist.,ISTJ,The Logistician,Sentinels,5,Pf,Trait #5,5,A,Traits,#eddcd2
They are inquisitive.,ENTP,The Debater,Analysts,5,Iq,Trait #5,5,A,Traits,#eddcd2
They are flexible.,ESFP,The Entertainer,Explorers,5,Fx,Trait #5,5,A,Traits,#eddcd2
They are ambitious.,ENTJ,The Commander,Analysts,5,Am,Trait #5,5,A,Traits,#eddcd2
They are obsessive.,ISFJ,The Defender,Sentinels,5,Ob,Trait #5,5,A,Traits,#eddcd2
They are inspiring.,INFJ,The Advocate,Diplomats,5,In,Trait #5,5,A,Traits,#eddcd2
They are precise.,INTP,The Logician,Analysts,5,Pr,Trait #5,5,A,Traits,#eddcd2
They are reserved.,ISTP,The Virtuoso,Explorers,5,Re,Trait #5,5,A,Traits,#eddcd2
They are efficient.,ESTJ,The Executive,Sentinels,5,Ef,Trait #5,5,A,Traits,#eddcd2
They are altruistic.,INFP,The Mediator,Diplomats,6,Al,Trait #6,6,A,Traits,#eddcd2
They are artistic.,ISFP,The Adventurer,Explorers,6,Ar,Trait #6,6,A,Traits,#eddcd2
They are responsible.,ENFJ,The Protagonist,Diplomats,6,Re,Trait #6,6,A,Traits,#eddcd2
They are practical.,ESFJ,The Consul,Sentinels,6,Pr,Trait #6,6,A,Traits,#eddcd2
They are optimistic.,ENFP,The Campaigner,Diplomats,6,Op,Trait #6,6,A,Traits,#eddcd2
They are perceptive.,ESTP,The Entrepreneur,Explorers,6,Pe,Trait #6,6,A,Traits,#eddcd2
They are independent.,INTJ,The Architect,Analysts,6,In,Trait #6,6,A,Traits,#eddcd2
They are conventional.,ISTJ,The Logistician,Sentinels,6,Th,Trait #6,6,A,Traits,#eddcd2
They are enterprising.,ENTP,The Debater,Analysts,6,En,Trait #6,6,A,Traits,#eddcd2
They are tactful.,ESFP,The Entertainer,Explorers,6,Ta,Trait #6,6,A,Traits,#eddcd2
They are independent.,ENTJ,The Commander,Analysts,6,In,Trait #6,6,A,Traits,#eddcd2
They are dedicator.,ISFJ,The Defender,Sentinels,6,De,Trait #6,6,A,Traits,#eddcd2
They are patient.,INFJ,The Advocate,Diplomats,6,Pa,Trait #6,6,A,Traits,#eddcd2
They are logical.,INTP,The Logician,Analysts,6,Lo,Trait #6,6,A,Traits,#eddcd2
They are practical.,ISTP,The Virtuoso,Explorers,6,Pr,Trait #6,6,A,Traits,#eddcd2
They are dependable.,ESTJ,The Executive,Sentinels,6,De,Trait #6,6,A,Traits,#eddcd2
They are eager to help.,INFP,The Mediator,Diplomats,7,Ea,Trait #7,7,A,Traits,#eddcd2
They are self-pitying.,ISFP,The Adventurer,Explorers,7,Se,Trait #7,7,A,Traits,#eddcd2
They are idealistic.,ENFJ,The Protagonist,Diplomats,7,Id,Trait #7,7,A,Traits,#eddcd2
They are active.,ESFJ,The Consul,Sentinels,7,Ac,Trait #7,7,A,Traits,#eddcd2
They are playful.,ENFP,The Campaigner,Diplomats,7,Pl,Trait #7,7,A,Traits,#eddcd2
They are living on edge.,ESTP,The Entrepreneur,Explorers,7,Li,Trait #7,7,A,Traits,#eddcd2
They are reserved.,INTJ,The Architect,Analysts,7,Re,Trait #7,7,A,Traits,#eddcd2
They are reserved.,ISTJ,The Logistician,Sentinels,7,Re,Trait #7,7,A,Traits,#eddcd2
They are versatile.,ENTP,The Debater,Analysts,7,Ve,Trait #7,7,A,Traits,#eddcd2
They are strong common sense.,ESFP,The Entertainer,Explorers,7,St,Trait #7,7,A,Traits,#eddcd2
They are effective organizer.,ENTJ,The Commander,Analysts,7,Ef,Trait #7,7,A,Traits,#eddcd2
They are protective.,ISFJ,The Defender,Sentinels,7,Pr,Trait #7,7,A,Traits,#eddcd2
They are compassionate.,INFJ,The Advocate,Diplomats,7,Co,Trait #7,7,A,Traits,#eddcd2
They are reserved.,INTP,The Logician,Analysts,7,Re,Trait #7,7,A,Traits,#eddcd2
They are experimenter.,ISTP,The Virtuoso,Explorers,7,Ex,Trait #7,7,A,Traits,#eddcd2
They are realistic.,ESTJ,The Executive,Sentinels,7,Re,Trait #7,7,A,Traits,#eddcd2
"INTJs are loyal in a sneaky way. You won't notice it, but if you look back... INTJs are consistent, thorough, and compassionate in their loyalty. Loyalty is one of the main ways they show love, as they shy away from outward displays of affection.",INTJ,The Architect,Analysts,8,Lo,Loyalty,2,B,Skills,#fff1e6
"INFPs are loyal in a ""let's be successful together"" way. Their Fi working with Te is really seen in loyalty. They bring structure to their loyalty with affirmations and empathy, making their intentions clear. INFPs get many things done through receiving and giving loyalty.",INFP,The Mediator,Diplomats,8,Lo,Loyalty,2,B,Skills,#fff1e6
"ISFPs are loyal in a fun and no string attached way. They will come over and chill when you need it, even in unexpected moments (like of crisis). They will coach you, giving you emotional support and engaging in hobbies. They will make your days brighter, never abandoning you.",ISFP,The Adventurer,Explorers,8,Lo,Loyalty,2,B,Skills,#fff1e6
"ISTJs are the classic image of loyalty. They will always back up their friends, making sure to be honest and transparent with them. They will commit to their friends and put them first when needed. Sticking by your side is something an ISTJ is good at.",ISTJ,The Logistician,Sentinels,8,Lo,Loyalty,2,B,Skills,#fff1e6
"ENFPs will always be near you in a way that speaks of loyalty. They will be a big presence in your life, helping to energize you with new perspectives. They will make sure to verbally affirm you and help you in your daily errands. ENFPs are loyal in an intense way.",ENFP,The Campaigner,Diplomats,8,Lo,Loyalty,2,B,Skills,#fff1e6
"ENFJs are quiet yet loud in their loyalty. They do Small things for you that reaffirm their loyalty, like checking up on you. Then, they also show their loyalty through being loving. These gestures can be large or even grandiose. They are thorough in showing loyalty.",ENFJ,The Protagonist,Diplomats,8,Lo,Loyalty,2,B,Skills,#fff1e6
"ESTPs are loyal in a fierce, bright way. They will make sure to reaffirm their loyalty and make you feel good. Everything is fun with them because you can really tell their bond is true. They listen intently and experience life with you. Many words are not needed to describe their motivation in loyalty.",ESTP,The Entrepreneur,Explorers,8,Lo,Loyalty,2,B,Skills,#fff1e6
"ESFJs show loyalty by placing their full confidence in you. They will be relentlessly optimistic to ensure your success. They'll also give you genuine advice - anything to help you out emotionally, spiritually, etc. They like acts of service to show their loyalty, too.",ESFJ,The Consul,Sentinels,8,Lo,Loyalty,2,B,Skills,#fff1e6
"INFJs' loyalty goes 2 ways. They will direct their INFJ characteristics (like great listening skills) at you. In return, they want you to be your authentic self. Bring something new to their day, and they will be loyal to you. Respect their autonomy and try to understand, and they will be very loyal.",INFJ,The Advocate,Diplomats,8,Lo,Loyalty,2,B,Skills,#fff1e6
"ISFJs are loyal emotionally first. They will try to empathize with you, taking this experience and helping you feel better. They will always stick by you without being overly clingy or annoying. Be sure to reaffirm them and tell them how good their care feels!",ISFJ,The Defender,Sentinels,8,Lo,Loyalty,2,B,Skills,#fff1e6
"INTPs may not know how to show their loyalty well, but they are deeply loyal due to their introverted nature. If you tolerate them and encourage their Ne, they will be very loyal to you. Due to Fe, they will be VERY loyal to you if you make the first move and always stand by them.",INTP,The Logician,Analysts,8,Lo,Loyalty,2,B,Skills,#fff1e6
"ISTPs are loyal in the classical, dictionary definition way. That is, they put their full faith in you and try to help you in all areas of life. You can feel very safe in the hands of an ISTP who's warmed up to you, because they will go to the moon and back for you... if you feel the same.",ISTP,The Virtuoso,Explorers,8,Lo,Loyalty,2,B,Skills,#fff1e6
"ENTJs have a baseline level of loyalty which goes further the more you get to know them. Treat them as capable, don't demean them, and they will do the same for you and more. ENTJs love showing their loyalty physically and verbally the more developed their Fi is.",ENTJ,The Commander,Analysts,8,Lo,Loyalty,2,B,Skills,#fff1e6
"ESTJs are one of  the most loyal types. If you were reliable in the past, they will notice and respect you a lot. Their bond is hard to break as they put more confidence in your capability and awesomeness. They ask for the same respect in return.",ESTJ,The Executive,Sentinels,8,Lo,Loyalty,2,B,Skills,#fff1e6
"ENTPs are so playful that you may not see their loyalty, but it is certainly there. They will be with you in your sensitive moments. They are also good at getting your mind off things and injecting humor into life. Their loyalty is Subtle but runs deep, despite negative.",ENTP,The Debater,Analysts,8,Lo,Loyalty,2,B,Skills,#fff1e6
"ESFPs will be attentive to your needs, placing emphasis on helping you when you need it. They love small shows of loyalty free of any commitment. They are here anytime you need help, and their positive energy transfers onto you. They have a deep trust for you.",ESFP,The Entertainer,Explorers,8,Lo,Loyalty,2,B,Skills,#fff1e6
"INFPs make you feel so valid and understood. They will laugh, smile, and cry along with you due to their great empathy. They offer a package of concentrated love and friendship that keeps you happy 24/7.",INFP,The Mediator,Diplomats,9,Fe,How They Will\nMake You Feel,3,B,Skills,#fff1e6
"ISFPs make you feel so joyous and spontaneous. They offer company that beats no other, even in the simplest environments. They are very versatile friends that keep you moving when necessary.",ISFP,The Adventurer,Explorers,9,Fe,How They Will\nMake You Feel,3,B,Skills,#fff1e6
"ENFJs make you feel so loved and wanted. They love nothing more than making your day with simple gestures. When you're sad or grouchy, they will always uplift you and make you feel like a million bucks.",ENFJ,The Protagonist,Diplomats,9,Fe,How They Will\nMake You Feel,3,B,Skills,#fff1e6
ESFJs make you feel so warm and thankful. They ground you in reality and help you appreciate the little things in life. They offer so much love that makes you grateful for their presence every day. *plus they host great parties.,ESFJ,The Consul,Sentinels,9,Fe,How They Will\nMake You Feel,3,B,Skills,#fff1e6
"ENFPs make you feel so fierce and comfortable. They want to dream and adventure with you, you're their ride or die. They will support you emotionally, mentally, and anything in between.",ENFP,The Campaigner,Diplomats,9,Fe,How They Will\nMake You Feel,3,B,Skills,#fff1e6
"ESTPs make you feel so strong and expressive. They will spark something deep inside that makes you be top tier in everything you do. They are amazing company, and no type will be as cool and crazy in that way.",ESTP,The Entrepreneur,Explorers,9,Fe,How They Will\nMake You Feel,3,B,Skills,#fff1e6
"INTJs make you feel so confident and knowledgeable. They will help you see everything and anything. Their future oriented mindset is so needed in this world, and you really benefit from it!",INTJ,The Architect,Analysts,9,Fe,How They Will\nMake You Feel,3,B,Skills,#fff1e6
"ISTJs make you feel so powerful and motivated. They will make sure you're succeeding and at your best at all times. They will not hesitate to serve you in times of need, provided you show the same loyalty when they need your company.",ISTJ,The Logistician,Sentinels,9,Fe,How They Will\nMake You Feel,3,B,Skills,#fff1e6
ENTP make you feel so dynamic and relaxed. They can hype you up one moment and then get you fully in chill mode the next. It's a fun rollercoaster of variety and unique love that makes ENTP women very cool to get to know.,ENTP,The Debater,Analysts,9,Fe,How They Will\nMake You Feel,3,B,Skills,#fff1e6
ESFPs make you feel so active and heard. They will stick with you through thick and thin while giving you their amazing energy. They push you out of your comfort zone yet make sure you re emotionally alright.,ESFP,The Entertainer,Explorers,9,Fe,How They Will\nMake You Feel,3,B,Skills,#fff1e6
"ENTJs make you feel so connected and excited. They will get you looking forward passionately to the future. Then, they will make you feel at ease and one with the world yet powerful and ready to strike. Their confidence? Contagious.",ENTJ,The Commander,Analysts,9,Fe,How They Will\nMake You Feel,3,B,Skills,#fff1e6
"ISFJs make you feel so grounded and cared for. They will offer a variety of tools for you and go the extra mile, always. They want to see you prosper with them and will put in work for shared contentment in life.",ISFJ,The Defender,Sentinels,9,Fe,How They Will\nMake You Feel,3,B,Skills,#fff1e6
"INFJs make you feel so reflective and supported. They are gems to find because you can grow, learn, and empathize together. They are your equal, not demeaning or condescending, simply existing at the same time as you.",INFJ,The Advocate,Diplomats,9,Fe,How They Will\nMake You Feel,3,B,Skills,#fff1e6
"INTPs make you feel so ready and cool. Although they seem minimalist or simple, they are just too advanced for the frivolity of everyday life. Their presence and approach to life leads to great success for both of you. Not to mention the ~awesome vibes~",INTP,The Logician,Analysts,9,Fe,How They Will\nMake You Feel,3,B,Skills,#fff1e6
"ISTPs make you feel so thoughtful and imaginative. They can help you in any environment, especially if creative thought is involved. They are analytical yet playful, serious yet chill, and overall a great friend.",ISTP,The Virtuoso,Explorers,9,Fe,How They Will\nMake You Feel,3,B,Skills,#fff1e6
"ESTJs make you feel so organized and determined. They will be fair in the nicest way possible to ensure your success. Fiercely loyal and somewhat traditional, they will offer interesting insights backed by something you can trust. Intimidating love*wink*",ESTJ,The Executive,Sentinels,9,Fe,How They Will\nMake You Feel,3,B,Skills,#fff1e6
"Their curiosity. They will explore anything and everything with you, from conversations to experiences. Their relaxed nature. They will make sure youre not overwhelmed and will give you space. Their listening abilities. Although theyre not well known for this, they can and will listen to you, offering logical solutions to problems.",INTP,The Logician,Analysts,10,Sp,Why Are\nThey Special,4,B,Skills,#fff1e6
"Their drive. They are constantly doing things that they love, and pursue those with an unrelenting passion. Their actions. It's easy to see what emotions they feel because everything is transparent with them. You wont feel deceived. Their truth. Even if they dont agree, they will not berate or shame you. They are diplomatic, kind but honest.",ISFP,The Adventurer,Explorers,10,Sp,Why Are\nThey Special,4,B,Skills,#fff1e6
"Their commitment. They will stand by you in all situations and be ready to help you. They take their responsibilities and commitments very seriously. Their reasoning, It is both emotional and logical. the best of both worlds. Their intellectual power. Reason and thinking come naturally to them, they're good with their words too.",INFJ,The Advocate,Diplomats,10,Sp,Why Are\nThey Special,4,B,Skills,#fff1e6
"Their humor. They'll make you laugh in the Funniest ways, whether you chuckle or double over laughing. Their patience. As long as you try to understand, they will be the calm and patient force in your life. Their caring. They will show up to your events, participate in things with you, and do acts of service for, you. Its their show of love.",ISTJ,The Logistician,Sentinels,10,Sp,Why Are\nThey Special,4,B,Skills,#fff1e6
"Their creativity. They are good with expression and conveying themselves through non-traditional forms. Their leadership. They are committed and devoted to causes, making great leaders. Fi allows for extra persuasive talent. Their generosity. They are generous with their time and are actually attentive to things they care about.",ENFP,The Campaigner,Diplomats,10,Sp,Why Are\nThey Special,4,B,Skills,#fff1e6
"Their words. Their words stand for peace, harmony, and inclusivity. Their tastes. They can make anything look good, and they offer robust, constructive advice. This advice usually appeals to a large majority. Their ideas. Often, these ideas are simple but effective. They can brainstorm too! Especially if they're in the right mood.",ESFJ,The Consul,Sentinels,10,Sp,Why Are\nThey Special,4,B,Skills,#fff1e6
"Their passion and action-orientedness. They advocate for and start causes, creating real change in the world. Their people skills. They meet and challenge people in a unique way, creating solid bonds lasting years. Their developed Fi is skilled. Their communication skills. They speak clearly and inspire everyone to get to work.",ENTJ,The Commander,Analysts,10,Sp,Why Are\nThey Special,4,B,Skills,#fff1e6
"Their ambition. They want to be proficient, masters of their craft. They can do huge things with that. Their energy. It is contagious, and it is motivating. Their independence. Whether in leadership contexts or in friendships, they will be independent while relying on you sometimes. They re not overwhelming because of that.",ESTP,The Entrepreneur,Explorers,10,Sp,Why Are\nThey Special,4,B,Skills,#fff1e6
"Their sensitivity. They know what to say and are very emotionally receptive. Their organization. When they organize, they often come up with new processes to do things that may be more efficient and creative. Their fascination. Theyre curious minds that want to know it all. They want to listen to you, and they'll happily do it.",INFP,The Mediator,Diplomats,10,Sp,Why Are\nThey Special,4,B,Skills,#fff1e6
"Their quiet. They are quiet, but that doesnt mean they arent thinking. When theyre not talking, they ponder, scheme, and a million other things. Their intuition. Their strong Ni allows for quick comprehension of tasks and ideas. They can think of re- sults first, then the process. Their follow-through. They make sure to remain consistent.",INTJ,The Architect,Analysts,10,Sp,Why Are\nThey Special,4,B,Skills,#fff1e6
"Their wonder. They approach everything with a childlike passion, the spark within never dims. Their style. Theyre unique and show it. Their mannerisms and personality are always shifting into interesting directions. Their enthusiasm. They're motivating, energetic, and carefree. Their enthusiasm draws out their best parts.",ESFP,The Entertainer,Explorers,10,Sp,Why Are\nThey Special,4,B,Skills,#fff1e6
"Their logic, possess excellent common sense that is understandable for everyone else, too. Their fearlessness. They can choose to start a project with ease, or stand up for someone effortlessly. Thei faith. They remain realistic in their goals, never thinking low of themselves because they know they re competent.",ESTJ,The Executive,Sentinels,10,Sp,Why Are\nThey Special,4,B,Skills,#fff1e6
Their knowledge. They have so much knowledge in different contexts that they're practically a walking encyclopedia. Their accommodation. They want to make you feel comfortable and free to be yourself with them and go far to maintain this. Their fluidity. They can act in many roles while maintaining proficiency. Jack of all trades.,ENTP,The Debater,Analysts,10,Sp,Why Are\nThey Special,4,B,Skills,#fff1e6
"Their action. They can make a plan and flawlessly execute it, while making sure to smooth over any mistakes. Their capacity. They can take on a lot of work and never crack under the pressure. Their neutrality. They make sure to maintain harmony and to never discriminate. Theyre very open minded in that regard.",ENFJ,The Protagonist,Diplomats,10,Sp,Why Are\nThey Special,4,B,Skills,#fff1e6
"Their connections. They're good at seeing the 'underlying flow' of data or rules, parsing through it efficiently. Their adaptiveness. They can feel normal in any environment. Truly, they are masters of improvisation. Their inner connections. They have a deep internal connection that creates realizations and plans.",ISTP,The Virtuoso,Explorers,10,Sp,Why Are\nThey Special,4,B,Skills,#fff1e6
"Their humbleness. They may be amazingly talented, but never show off to make sure no one thinks of them differently. Their skills. They are skilled in what they do, showing proficiency in a fluid and graceful way like no other type. Their love. They want you to benefit from their friendship and seek mutual inclusion. They re sweet!",ISFJ,The Defender,Sentinels,10,Sp,Why Are\nThey Special,4,B,Skills,#fff1e6
"Being humble, being flexible, emotional support, physical support, being friendly",INTJ,The Architect,Analysts,11,St,Strength,5,B,Skills,#fff1e6
"Narrowing their focus, school, structuring their time, grabbing attention, showing confidence",ISTP,The Virtuoso,Explorers,11,St,Strength,5,B,Skills,#fff1e6
"Cooling their emotions, following rules, being selfless, taking charge, being social",ISFP,The Adventurer,Explorers,11,St,Strength,5,B,Skills,#fff1e6
"Careful planning, considering others, disciplining themselves, helping others with their problems",ENTP,The Debater,Analysts,11,St,Strength,5,B,Skills,#fff1e6
"Being loving, being spontaneous, including everyone, art, helping others progress",ENTJ,The Commander,Analysts,11,St,Strength,5,B,Skills,#fff1e6
"Critical thinking, taking care of themselves, listening, liking everyone, maturity",ESTP,The Entrepreneur,Explorers,11,St,Strength,5,B,Skills,#fff1e6
"Moderation, using their imagination, ending conflicts, using logic, having an internal world",ESFP,The Entertainer,Explorers,11,St,Strength,5,B,Skills,#fff1e6
"Use good logic to make hard decisions, have the ability to maintain strong Opinions without compromising too much, have a spine, act on their impulses sometimes, need your help when they're in a tough spot.",INFJ,The Advocate,Diplomats,11,St,Strength,5,B,Skills,#fff1e6
"Remain emotionally detached from a problem when it's called for, have good sleep schedules, hit the gym and take care of themselves, not always choose the ""neutral/middle"" option, not come off as fake if you see their true self.",ENFP,The Campaigner,Diplomats,11,St,Strength,5,B,Skills,#fff1e6
"Not want to yell at you all day, relax, be flexible, have interesting hobbies and interests, like exploring new ideas and procedures.",ESTJ,The Executive,Sentinels,11,St,Strength,5,B,Skills,#fff1e6
"Have social skills, work hard when they love what they're doing, take things slow when necessary, remain grounded when people need them, care about others (not selfish).",INFP,The Mediator,Diplomats,11,St,Strength,5,B,Skills,#fff1e6
"Have strong opinions, do things just for the fun of it, go into career fields outside of medical/psychology/HR, have procrastination issues, have strong, healthy boundaries.",ENFJ,The Protagonist,Diplomats,11,St,Strength,5,B,Skills,#fff1e6
"Want to do exciting/thrilling things, have a feisty and assertive streak, know when and how to say NO, have ambitions, have complex ideas/plans.",ISFJ,The Defender,Sentinels,11,St,Strength,5,B,Skills,#fff1e6
"Want to socialize with like-minded people, care about imagination, care about others, have deep emotions, know how to relax.",ISTJ,The Logistician,Sentinels,11,St,Strength,5,B,Skills,#fff1e6
"Have carefree moments, break the rules, defy social norms, care for themselves, have a strong identity.",ESFJ,The Consul,Sentinels,11,St,Strength,5,B,Skills,#fff1e6
Great analyst and abstract thinkers.,INTP,The Logician,Analysts,11,St,Strength,5,B,Skills,#fff1e6
"Many of these types reject the traditional role of leadership. Instead, they picture how they'd like to be led and follow this mental image. They are the most relaxed leaders, but can be deeply passionate if there's a deadline or pressure. They can easily get VERY involved in projects, giving it their all. Don't underestimate them!",INTP,The Logician,Analysts,12,Ld,Leaders,6,B,Skills,#fff1e6
"As leaders, they prioritise independence. They will give followers breathing room while still being available. They often utilise unconventional ways to solve problems which may seem a little crazy to outsiders. A lot of their decision making is formed by their gut, especially if their enneagram Is in the gut triad.",INTJ,The Architect,Analysts,12,Ld,Leaders,6,B,Skills,#fff1e6
"They are the unexpected leaders. When no one can get it together, these types rise up. They place lots of trust into their followers to finish the needed tasks. They are generous with theirs time and effort, willing to help out followers at any stage. They're really nice but would rather have co-leaders with them. They're also conflict avoidant.",INFP,The Mediator,Diplomats,12,Ld,Leaders,6,B,Skills,#fff1e6
"As leaders, they are persuasive and open-minded. They are open to numerous perspectives, provided followers can follow through. Loyalty and consistency Is important to the types. They can be very motivating, especially if the team needs it. They harmonise with the room and tailor their leadership in response to stimull.",ESTP,The Entrepreneur,Explorers,12,Ld,Leaders,6,B,Skills,#fff1e6
